"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ALLOGRAFT_REJECTION",0.232209737827715,0.307824002739257,0.121543282035469,-0.315432874002449,-1.1489042955826,44,"c(""NPM1"", ""GCNT1"", ""TIMP1"", ""GBP2"", ""DEGS1"", ""SOCS5"")"
"HALLMARK_ANDROGEN_RESPONSE",0.376865671641791,0.437164179104478,0.0908241419007155,-0.297718464937805,-1.05012598692899,39,"c(""ELOVL5"", ""INSIG1"", ""TMPRSS2"", ""NCOA4"", ""DHCR24"", ""SPCS3"", ""ZMIZ1"", ""DNAJB9"", ""APPBP2"", ""UAP1"", ""ABCC4"", ""SGK1"", ""B4GALT1"")"
"HALLMARK_ANGIOGENESIS",0.231203007518797,0.307824002739257,0.122107920287081,-0.519694583693153,-1.23371234137546,9,"c(""TIMP1"", ""LRPAP1"", ""COL5A2"")"
"HALLMARK_APICAL_JUNCTION",0.00349409198166032,0.0144755239240213,0.431707695803346,-0.455386789512308,-1.66209711667654,45,"c(""LIMA1"", ""TNFRSF11B"", ""BMP1"", ""INSIG1"", ""NRXN2"", ""PKD1"", ""RAC2"", ""MYL12B"", ""NEGR1"", ""ADRA1B"", ""LDLRAP1"", ""NLGN3"", ""ARPC2"", ""SHROOM2"", ""NF1"", ""MYL9"", ""AKT3"", ""RSU1"", ""VAV2"", ""MYH9"", ""CAP1"", ""EXOC4"", ""B4GALT1"", ""NLGN2"", ""TSPAN4"", ""CNN2"", ""FSCN1"", ""PIK3R3"")"
"HALLMARK_APICAL_SURFACE",0.109665427509294,0.198768587360595,0.183023938384487,-0.501168334218608,-1.38029367084059,15,"c(""PCSK9"", ""GAS1"", ""DCBLD2"", ""ADAM10"")"
"HALLMARK_BILE_ACID_METABOLISM",0.116760828625235,0.199180237066578,0.178219874951973,-0.351021949117094,-1.26268022080003,42,"c(""ABCA1"", ""DIO1"", ""ABCA2"", ""HACL1"", ""PNPLA8"", ""CYP7B1"", ""PRDX5"", ""IDH2"", ""DHCR24"", ""ISOC1"", ""HAO1"", ""ABCG4"", ""SOD1"", ""ABCD2"", ""EFHC1"", ""PEX26"", ""ABCA3"")"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00110945547956081,0.00791643686652067,0.45505986738723,-0.590365321641726,-1.90339538041564,26,"c(""NFIL3"", ""FABP5"", ""SREBF2"", ""AVPR1A"", ""ABCA2"", ""ETHE1"", ""PLSCR1"", ""DHCR7"", ""CTNNB1"", ""SC5D"", ""TMEM97"", ""STX5"")"
"HALLMARK_COAGULATION",0.022962339728697,0.0512236809332472,0.352487857583619,-0.460368469690018,-1.53794122675299,31,"c(""TMPRSS6"", ""BMP1"", ""TIMP1"", ""ARF4"", ""DUSP14"", ""MMP15"", ""MMP3"", ""MST1"", ""PEF1"", ""HNF4A"", ""MASP2"", ""MMP1"")"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0013649029080208,0.00791643686652067,0.45505986738723,-0.499150853331154,-1.81806211971245,44,"c(""EDIL3"", ""TNFRSF11B"", ""BMP1"", ""GAS1"", ""GADD45A"", ""TIMP1"", ""ID2"", ""GADD45B"", ""MMP3"", ""GPX7"", ""TNFAIP3"", ""COL5A2"", ""NT5E"", ""COL4A1"", ""SFRP4"", ""MATN2"", ""MYL9"", ""SNAI2"", ""MMP1"", ""MXRA5"")"
"HALLMARK_HEDGEHOG_SIGNALING",0.573076923076923,0.615527065527066,0.070113215764256,-0.363533680959868,-0.915171939487619,11,"c(""CDK5R1"", ""RTN1"", ""NF1"", ""MYH9"", ""L1CAM"", ""UNC5C"", ""TLE1"")"
