"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_APICAL_JUNCTION",0.00349409198166032,0.0144755239240213,0.431707695803346,-0.455386789512308,-1.66209711667654,45,"c(""LIMA1"", ""TNFRSF11B"", ""BMP1"", ""INSIG1"", ""NRXN2"", ""PKD1"", ""RAC2"", ""MYL12B"", ""NEGR1"", ""ADRA1B"", ""LDLRAP1"", ""NLGN3"", ""ARPC2"", ""SHROOM2"", ""NF1"", ""MYL9"", ""AKT3"", ""RSU1"", ""VAV2"", ""MYH9"", ""CAP1"", ""EXOC4"", ""B4GALT1"", ""NLGN2"", ""TSPAN4"", ""CNN2"", ""FSCN1"", ""PIK3R3"")"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00110945547956081,0.00791643686652067,0.45505986738723,-0.590365321641726,-1.90339538041564,26,"c(""NFIL3"", ""FABP5"", ""SREBF2"", ""AVPR1A"", ""ABCA2"", ""ETHE1"", ""PLSCR1"", ""DHCR7"", ""CTNNB1"", ""SC5D"", ""TMEM97"", ""STX5"")"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0013649029080208,0.00791643686652067,0.45505986738723,-0.499150853331154,-1.81806211971245,44,"c(""EDIL3"", ""TNFRSF11B"", ""BMP1"", ""GAS1"", ""GADD45A"", ""TIMP1"", ""ID2"", ""GADD45B"", ""MMP3"", ""GPX7"", ""TNFAIP3"", ""COL5A2"", ""NT5E"", ""COL4A1"", ""SFRP4"", ""MATN2"", ""MYL9"", ""SNAI2"", ""MMP1"", ""MXRA5"")"
"HALLMARK_HYPOXIA",0.000935695113741531,0.00791643686652067,0.477270815362862,-0.50681989875122,-1.84599516015408,44,"c(""NFIL3"", ""DUSP1"", ""AMPD3"", ""SLC2A5"", ""PCK1"", ""P4HA2"", ""WSB1"", ""CDKN1B"", ""FOSL2"", ""PIM1"", ""PHKG1"", ""BTG1"", ""TPI1"", ""CAV1"", ""TNFAIP3"", ""PRDX5"", ""BCL2"")"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0147087219216813,0.0355460779773964,0.380730400722792,-0.616570597301206,-1.66592515730373,14,"c(""PTPN11"", ""STAM2"", ""IL6ST"", ""ACVRL1"", ""GRB2"", ""PIM1"", ""CSF3R"", ""MYD88"")"
"HALLMARK_INFLAMMATORY_RESPONSE",0.000338704699551458,0.00491121814349614,0.49849310876659,-0.551569843795951,-1.88708503394972,35,"c(""NMUR1"", ""RTP4"", ""ABCA1"", ""DCBLD2"", ""TIMP1"", ""GCH1"", ""NFKB1"", ""ATP2A2"", ""GABBR1"", ""CSF3R"", ""NPFFR2"", ""PCDH7"", ""HRH1"", ""MXD1"", ""TLR3"")"
"HALLMARK_MYC_TARGETS_V2",0.00193787251559789,0.0093663838253898,0.45505986738723,0.501835488150736,1.76918065458255,39,"c(""MCM4"", ""LAS1L"", ""PLK4"", ""PUS1"", ""RCL1"", ""MCM5"", ""MYBBP1A"", ""NIP7"", ""IPO4"", ""WDR43"", ""PLK1"", ""RRP12"", ""TBRG4"", ""PES1"", ""PA2G4"", ""NDUFAF4"", ""RRP9"", ""MPHOSPH10"", ""GNL3"")"
"HALLMARK_PANCREAS_BETA_CELLS",0.00461207281556864,0.0167187639564363,0.407017918923954,-0.661764069791838,-1.78803435793316,14,"c(""FOXA2"", ""SYT13"", ""SRP14"", ""PAX6"", ""NEUROD1"", ""PCSK2"", ""G6PC2"", ""AKT3"", ""STXBP1"", ""PAK3"", ""PCSK1"")"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0054053257217562,0.0174171606589922,0.407017918923954,-0.48812845510709,-1.65080922422001,33,"c(""PTPN11"", ""CDKN1B"", ""TIAM1"", ""AP2M1"", ""GRB2"", ""SQSTM1"", ""TBK1"", ""DAPP1"", ""CAB39L"", ""ARF1"", ""PITX2"", ""MAP2K3"")"
"HALLMARK_PROTEIN_SECRETION",0.0107263012637286,0.0282784306043753,0.380730400722792,-0.41626542137341,-1.55932825419616,50,"c(""TMED2"", ""ABCA1"", ""M6PR"", ""AP2M1"", ""YIPF6"", ""ADAM10"", ""ARF1"", ""VPS4B"", ""YKT6"", ""CLN5"", ""CLCN3"", ""TMED10"", ""STX7"", ""ATP6V1H"", ""SOD1"", ""AP2S1"", ""COPB2"", ""ATP1A1"", ""TSPAN8"", ""RAB5A"", ""VPS45"", ""GOSR2"", ""IGF2R"", ""STX16"", ""RAB14"", ""ARCN1"", ""GOLGA4"", ""AP1G1"", ""VAMP4"", ""SNX2"", ""AP3S1"", ""PPT1"")"
