#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FUN_000075-T1_FUN_000075	FUN_002358-T1_FUN_002358	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_002358-T1_FUN_002358	0	0	0	0	0	0	0.731	0	0.731
FUN_000075-T1_FUN_000075	FUN_002949-T1_FUN_002949	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_002949-T1_FUN_002949	0	0	0	0	0	0	0.532	0	0.532
FUN_000075-T1_FUN_000075	FUN_004887-T1_FUN_004887	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_004887-T1_FUN_004887	0	0	0	0	0	0	0.896	0	0.896
FUN_000075-T1_FUN_000075	FUN_007055-T1_FUN_007055	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_007055-T1_FUN_007055	0	0	0	0	0	0	0.898	0	0.898
FUN_000075-T1_FUN_000075	FUN_008119-T1_FUN_008119	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_008119-T1_FUN_008119	0	0	0	0	0	0	0.902	0	0.902
FUN_000075-T1_FUN_000075	FUN_010176-T1_FUN_010176	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_010176-T1_FUN_010176	0	0	0	0	0	0	0.741	0	0.741
FUN_000075-T1_FUN_000075	FUN_011151-T1_FUN_011151	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_011151-T1_FUN_011151	0	0	0	0	0	0	0.532	0	0.532
FUN_000075-T1_FUN_000075	FUN_018629-T1_FUN_018629	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_018629-T1_FUN_018629	0	0	0	0	0	0	0.901	0	0.901
FUN_000075-T1_FUN_000075	FUN_022079-T1_FUN_022079	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_022079-T1_FUN_022079	0	0	0	0	0	0	0.509	0	0.509
FUN_000075-T1_FUN_000075	FUN_029318-T1_FUN_029318	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_029318-T1_FUN_029318	0	0	0	0	0	0.446	0.894	0	0.938
FUN_000075-T1_FUN_000075	FUN_029370-T1_FUN_029370	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_029370-T1_FUN_029370	0	0	0	0	0	0	0.509	0	0.509
FUN_000075-T1_FUN_000075	FUN_035515-T1_FUN_035515	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_035515-T1_FUN_035515	0	0	0	0	0	0	0.900	0	0.900
FUN_000075-T1_FUN_000075	FUN_040204-T1_FUN_040204	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_040204-T1_FUN_040204	0	0	0	0	0	0	0.879	0	0.879
FUN_000075-T1_FUN_000075	FUN_044554-T1_FUN_044554	STRG0001BLW.FUN_000075-T1_FUN_000075	STRG0001BLW.FUN_044554-T1_FUN_044554	0	0	0	0	0	0	0.611	0	0.611
