"module","FUN_ID","kTotal","kWithin","kOut","kDiff","Target_annotation","Target_Contig"
"black","FUN_037002",180.913650565209,67.1074096433126,113.806240921896,-46.6988312785834,"",2010
"cyan","FUN_047130",146.987988634343,90.2288035894376,56.7591850449051,33.4696185445325,"NCAPD3",696
"darkgreen","FUN_030500",72.9515686387427,34.5998216445161,38.3517469942266,-3.75192534971053,"NPRL3",1695
"darkorange","FUN_040906",108.870721882363,37.3941750864578,71.4765467959048,-34.082371709447,"",2218
"darkred","FUN_030144",109.306821947941,82.4471377292833,26.8596842186574,55.5874535106259,"CHDC2",1691
"darkturquoise","FUN_031227",96.7323545860278,73.1419515529953,23.5904030330325,49.5515485199629,"",1738
"green","FUN_015349",116.430413332707,88.5885439769703,27.841869355737,60.7466746212333,"Tm2_1",885
"greenyellow","FUN_036041",388.793791043029,354.158250982348,34.6355400606807,319.522710921667,"",1961
"grey60","FUN_024712",110.500044499308,62.7714121620193,47.7286323372885,15.0427798247308,"TAF12",1387
"lightyellow","FUN_024653",190.188026326728,146.877565729511,43.3104605972164,103.567105132295,"",1386
"magenta","FUN_042359",98.1002110155379,43.8864104403114,54.2138005752265,-10.3273901349152,"CPT1A",2302
"orange","FUN_024896",505.859021271928,497.106357925277,8.75266334665099,488.353694578626,"",1397
"purple","FUN_002534",90.0009855895748,55.1164028068955,34.8845827826793,20.2318200242161,"REXO4",205
"red","FUN_044029",56.9522165199001,37.3844849232689,19.5677315966312,17.8167533266377,"",2344
"royalblue","FUN_041634",60.1669784718288,31.2608155523112,28.9061629195176,2.35465263279364,"ATP5L",2244
"tan","FUN_038444",117.092728856006,66.5389102739726,50.5538185820333,15.9850916919393,"",2081
"violet","FUN_040854",384.48268784789,353.557786661554,30.924901186336,322.632885475218,"",2218
"yellow","FUN_035046",243.721689045802,167.00507778348,76.7166112623214,90.2884665211591,"LGALS9_4",1919
