"row","kTotal","kWithin","kOut","kDiff","module","Target_annotation","Target_Contig"
"FUN_024896",505.859021271928,497.106357925277,8.75266334665099,488.353694578626,"orange","",1397
"FUN_039180",506.858080355615,497.009475074699,9.84860528091616,487.160869793782,"orange","Syt13",2129
"FUN_008328",502.103043096904,493.354601972829,8.74844112407499,484.606160848754,"orange","ADRA2B",532
"FUN_003106",502.120559906296,493.089985758296,9.03057414799997,484.059411610296,"orange","CA10_1",236
"FUN_034107",501.255362843406,492.722426400893,8.53293644251289,484.18948995838,"orange","SLC6A4",1890
"FUN_011106",499.490026323686,491.00135934193,8.4886669817559,482.512692360175,"orange","CNGB1",651
"FUN_007108",500.359657175585,490.162169424737,10.1974877508473,479.96468167389,"orange","",459
"FUN_005203",498.347854972837,488.571196332906,9.77665863993127,478.794537692974,"orange","",363
"FUN_020793",498.858732439657,488.236618425441,10.6221140142158,477.614504411225,"orange","",1196
"FUN_011811",496.213653664829,488.009559147123,8.20409451770564,479.805464629417,"orange","",687
"FUN_001144",496.587893508624,487.696504237779,8.8913892708444,478.805114966935,"orange","TMEM9",114
"FUN_025200",496.287766367689,487.618188914955,8.66957745273425,478.948611462221,"orange","",1411
"FUN_025094",497.767124581431,487.455821854494,10.3113027269363,477.144519127558,"orange","",1411
"FUN_034912",497.267163241372,487.23760034731,10.0295628940625,477.208037453248,"orange","",1915
"FUN_028267",496.785971481831,486.788338966061,9.99763251577036,476.790706450291,"orange","",1571
"FUN_005655",497.781427409115,486.448390019207,11.3330373899083,475.115352629299,"orange","dmsr-8_1",380
"FUN_040284",496.142629315345,486.06312242298,10.0795068923648,475.983615530615,"orange","",2187
"FUN_025081",493.312206767745,485.150233568451,8.16197319929466,476.988260369156,"orange","MFSD6",1408
"FUN_036686",492.143311434977,483.871764472279,8.27154696269844,475.60021750958,"orange","CACNG7_2",1986
"FUN_017424",492.541510748711,482.927475612338,9.61403513637225,473.313440475966,"orange","",1007
"FUN_003840",492.058891357188,482.647426902097,9.41146445509094,473.235962447006,"orange","KCNK18_1",291
"FUN_032241",491.17060693141,482.622478455326,8.54812847608412,474.074349979242,"orange","ARL6IP5",1787
"FUN_020919",492.645208076608,482.347201097915,10.2980069786923,472.049194119223,"orange","ARFGAP1",1196
"FUN_011559",489.959154348398,482.309346304603,7.64980804379576,474.659538260807,"orange","",676
"FUN_038668",491.175545931291,481.529949102263,9.64559682902757,471.884352273236,"orange","GPRMGL5_3",2093
"FUN_022829",489.732573803267,481.52799778115,8.20457602211701,473.323421759033,"orange","UCHL3",1307
"FUN_021299",490.833393111537,481.397298562297,9.43609454923984,471.961204013058,"orange","CRHR2",1202
"FUN_001883",491.121769351145,481.023539200965,10.0982301501808,470.925309050784,"orange","",170
"FUN_004742",489.28619776729,480.905176413298,8.38102135399197,472.524155059306,"orange","",334
"FUN_001141",490.251256969828,480.515597314365,9.73565965546209,470.779937658903,"orange","MAPK8IP1",114
"FUN_037825",492.336216912969,480.394983705998,11.9412332069717,468.453750499026,"orange","CALB1_2",2058
"FUN_001875",491.886117224148,479.737339551624,12.1487776725237,467.588561879101,"orange","",170
"FUN_001167",486.950581852857,479.370335113165,7.58024673969226,471.790088373472,"orange","",117
"FUN_028952",487.932414720135,479.204786528156,8.72762819197936,470.477158336177,"orange","",1601
"FUN_006432",487.419943879722,479.112788948565,8.3071549311577,470.805634017407,"orange","NKX6-1_1",433
"FUN_019072",490.664403191989,478.977794408669,11.68660878332,467.291185625349,"orange","NPDC1",1097
"FUN_024515",490.138761016237,478.367063703326,11.7716973129109,466.595366390415,"orange","NDRG3",1384
"FUN_010109",486.518745772547,478.330291016403,8.18845475614387,470.141836260259,"orange","CELF4",613
"FUN_034829",492.166619771125,477.577389288114,14.5892304830107,462.988158805103,"orange","SYT2_3",1912
"FUN_005991",487.100690276671,477.082856167364,10.0178341093072,467.065022058057,"orange","",399
"FUN_020756",489.063459852527,476.700770804897,12.3626890476298,464.338081757267,"orange","SRC42A",1196
"FUN_034828",490.433559842367,476.643470890566,13.7900889518007,462.853381938766,"orange","",1912
"FUN_013409",489.043402964313,476.618475273351,12.4249276909628,464.193547582388,"orange","",762
"FUN_036159",486.133816548259,476.544973061162,9.58884348709711,466.956129574065,"orange","PRKAR2B_1",1969
"FUN_029286",483.964980885422,475.716834644444,8.24814624097854,467.468688403465,"orange","TACR2",1632
"FUN_044454",483.579252143231,475.232061832117,8.34719031111359,466.884871521004,"orange","",2347
"FUN_044455",484.001907956294,475.078062156953,8.92384579934077,466.154216357613,"orange","",2347
"FUN_014294",487.887755693943,475.056806485746,12.8309492081969,462.225857277549,"orange","",817
"FUN_016792",483.085995219435,474.978878722315,8.10711649711976,466.871762225195,"orange","SLCO4C1_4",978
"FUN_037823",485.562948604821,474.954354310708,10.6085942941133,464.345760016594,"orange","CALB1_1",2058
"FUN_016748",485.960258364458,474.624292326997,11.3359660374609,463.288326289536,"orange","",971
"FUN_027640",483.128850784117,474.084201446097,9.04464933802006,465.039552108077,"orange","GABBR1_3",1532
"FUN_044996",483.530334600476,473.605806896678,9.92452770379788,463.681279192881,"orange","",2352
"FUN_003700",484.899382839181,473.577524699082,11.3218581400985,462.255666558984,"orange","",282
"FUN_020064",481.690044138544,472.955688771234,8.73435536730921,464.221333403925,"orange","GABRB2",1147
"FUN_034401",481.159769200924,472.503622254396,8.65614694652851,463.847475307867,"orange","",1899
"FUN_034486",479.938384850678,472.295936753885,7.64244809679258,464.653488657093,"orange","",1903
"FUN_001354",480.341498277231,472.050385581765,8.29111269546559,463.7592728863,"orange","",129
"FUN_007889",481.27941783159,472.010109690731,9.26930814085927,462.740801549872,"orange","LAMP1_1",514
"FUN_006564",481.593190388206,471.341141229561,10.2520491586451,461.089092070916,"orange","",435
"FUN_015339",479.963505532154,471.291592062247,8.67191346990677,462.61967859234,"orange","",885
"FUN_006888",481.96333333398,471.179366328099,10.7839670058804,460.395399322219,"orange","CFAP61_1",450
"FUN_027403",484.63857195525,471.127882214295,13.5106897409543,457.617192473341,"orange","APOA1BP",1517
"FUN_012263",478.648001200345,470.569247189123,8.07875401122226,462.4904931779,"orange","",709
"FUN_032763",477.4780090115,469.352909565286,8.12509944621371,461.227810119072,"orange","",1812
"FUN_034104",476.755798456992,469.12194542577,7.63385303122203,461.488092394548,"orange","",1890
"FUN_025509",475.849440986414,467.807093896018,8.04234709039542,459.764746805623,"orange","GRIA2_7",1425
"FUN_033985",477.337118009037,466.903493927189,10.4336240818481,456.469869845341,"orange","",1887
"FUN_039281",476.482917722559,466.831387961534,9.65152976102564,457.179858200508,"orange","",2132
