"FUN_ID","module"
"FUN_000010","grey60"
"FUN_000017","grey"
"FUN_000018","greenyellow"
"FUN_000024","greenyellow"
"FUN_000034","magenta"
"FUN_000052","greenyellow"
"FUN_000053","greenyellow"
"FUN_000055","violet"
"FUN_000058","yellow"
"FUN_000062","royalblue"
"FUN_000064","lightyellow"
"FUN_000066","cyan"
"FUN_000067","darkturquoise"
"FUN_000070","tan"
"FUN_000071","tan"
"FUN_000080","lightyellow"
"FUN_047065","lightyellow"
"FUN_000081","lightyellow"
"FUN_000082","lightyellow"
"FUN_000086","cyan"
"FUN_000090","greenyellow"
"FUN_000096","black"
"FUN_000098","cyan"
"FUN_000112","violet"
"FUN_000113","yellow"
"FUN_000114","royalblue"
"FUN_000115","lightyellow"
"FUN_000117","red"
"FUN_000120","orange"
"FUN_000123","lightyellow"
"FUN_000128","darkturquoise"
"FUN_000141","orange"
"FUN_000145","darkred"
"FUN_000154","darkred"
"FUN_000157","cyan"
"FUN_000163","orange"
"FUN_000187","green"
"FUN_000206","lightyellow"
"FUN_000207","orange"
"FUN_047109","orange"
"FUN_000208","black"
"FUN_000218","greenyellow"
"FUN_000226","tan"
"FUN_000230","darkturquoise"
"FUN_000231","yellow"
"FUN_000233","greenyellow"
"FUN_000235","darkorange"
"FUN_000236","yellow"
"FUN_000255","greenyellow"
"FUN_000256","greenyellow"
"FUN_000257","royalblue"
"FUN_000258","orange"
"FUN_000259","magenta"
"FUN_000260","magenta"
"FUN_000263","greenyellow"
"FUN_000266","darkred"
"FUN_000270","darkorange"
"FUN_000276","violet"
"FUN_000278","cyan"
"FUN_000282","orange"
"FUN_000283","green"
"FUN_000284","lightyellow"
"FUN_000285","yellow"
"FUN_000297","greenyellow"
"FUN_000298","black"
"FUN_047132","yellow"
"FUN_000309","magenta"
"FUN_000314","greenyellow"
"FUN_000316","greenyellow"
"FUN_000323","red"
"FUN_000324","purple"
"FUN_000327","cyan"
"FUN_000330","greenyellow"
"FUN_000333","cyan"
"FUN_000334","yellow"
"FUN_000338","greenyellow"
"FUN_000344","royalblue"
"FUN_000353","green"
"FUN_000360","orange"
"FUN_000372","violet"
"FUN_000373","purple"
"FUN_000376","violet"
"FUN_000379","orange"
"FUN_000381","green"
"FUN_000383","green"
"FUN_000385","greenyellow"
"FUN_000386","violet"
"FUN_000389","violet"
"FUN_000390","grey60"
"FUN_000391","green"
"FUN_000392","lightyellow"
"FUN_000394","red"
"FUN_000395","darkorange"
"FUN_000397","violet"
"FUN_000398","orange"
"FUN_000399","cyan"
"FUN_000404","purple"
"FUN_000405","grey60"
"FUN_000406","violet"
"FUN_000410","greenyellow"
"FUN_000412","violet"
"FUN_000429","cyan"
"FUN_000858","lightyellow"
"FUN_000864","orange"
"FUN_000865","greenyellow"
"FUN_000866","darkorange"
"FUN_000867","darkred"
"FUN_000869","grey60"
"FUN_000876","greenyellow"
"FUN_000884","royalblue"
"FUN_000901","lightyellow"
"FUN_000910","darkgreen"
"FUN_000916","greenyellow"
