"X","PohiBra080_sorted.bam","PohiBra081_sorted.bam","PohiBra083_sorted.bam","PohiBra084_sorted.bam","PohiBra085_sorted.bam","PohiBra086_sorted.bam","PstrBra093_sorted.bam","PstrBra094_sorted.bam","PstrBra098_sorted.bam"
"FUN_000001",0,0,0,0,0,0,3,0,1
"FUN_000002",0,0,0,0,0,0,0,0,0
"FUN_000003",0,9,30,20,0,0,0,0,26
"FUN_000004",0,0,67,4,0,0,0,0,29
"FUN_000005",0,0,0,0,0,0,0,0,0
"FUN_000006",4,0,0,0,0,9,1,12,3
"FUN_000007",0,0,0,0,0,0,0,0,0
"FUN_000008",0,0,0,0,0,0,0,0,0
"FUN_000009",0,0,0,0,0,0,0,0,0
"FUN_000010",58,223,290,78,125,79,18,72,44
"FUN_000011",13,0,22,0,0,5,123,61,100
"FUN_000012",2,23,4,0,0,1,0,0,0
"FUN_000013",0,0,0,0,1,0,0,0,0
"FUN_000014",0,0,0,0,0,0,0,0,0
"FUN_000016",2,6,0,1,6,0,0,1,2
"FUN_000017",85,81,123,81,104,65,176,111,54
"FUN_000018",151,250,304,184,209,117,142,175,144
"FUN_000019",6,3,0,34,19,0,2,8,7
"FUN_000021",10,6,30,11,9,14,2,5,3
"FUN_000022",0,1,0,2,0,0,0,0,0
"FUN_000023",9,55,79,62,59,14,72,38,52
"FUN_000024",43,315,162,143,189,46,94,121,41
"FUN_000025",32,26,27,78,24,11,63,55,27
"FUN_000027",20,0,0,0,0,0,0,0,1
"FUN_000028",21,0,0,2,2,0,0,0,12
"FUN_000029",0,0,0,0,0,2,0,0,0
"FUN_000031",0,0,0,1,0,0,0,0,0
"FUN_000032",1,0,2,0,0,0,12,2,10
"FUN_000033",0,0,0,0,0,0,0,0,0
"FUN_000034",83,64,482,203,115,485,240,210,336
"FUN_000036",0,0,0,0,0,0,0,0,0
"FUN_000037",24,0,0,0,0,0,0,0,0
"FUN_000038",56,6,0,0,0,0,95,0,14
"FUN_000040",168,46,0,9,0,1,236,118,55
"FUN_000041",54,6,21,34,21,3,63,16,60
"FUN_000042",0,0,0,12,1,1,0,0,0
"FUN_000043",0,3,0,0,0,0,0,1,1
"FUN_000045",0,0,0,0,0,0,0,0,0
"FUN_000046",14,41,33,42,5,5,9,5,27
"FUN_000047",0,0,0,0,0,0,0,0,0
"FUN_000048",12,13,0,4,3,0,1,1,0
"FUN_000050",4,6,38,3,0,9,1,1,3
"FUN_000051",0,0,0,0,0,0,0,0,0
"FUN_000052",799,14003,2914,3193,3065,631,1421,1519,876
"FUN_000053",220,2887,535,1092,1131,66,615,423,133
"FUN_000055",165,20,10,10,0,4,355,40,437
"FUN_000057",136,0,1,0,0,0,99,3,33
"FUN_000058",169,50,915,40,34,172,537,247,258
"FUN_000059",10,6,44,18,9,4,50,6,9
"FUN_000060",0,0,0,0,0,0,0,0,0
"FUN_000062",134,153,71,13,88,11,98,14,41
"FUN_000063",0,0,0,0,0,0,0,0,0
"FUN_000064",141,194,526,159,103,139,157,196,146
"FUN_000066",62,226,230,209,141,9,204,109,51
"FUN_000067",1317,736,2523,938,605,984,964,931,706
"FUN_000069",451,6,0,1,0,3,1,5,2
"FUN_000070",642,17,14,4,34,21,1,27,45
"FUN_000071",371,13,50,19,32,34,129,26,73
"FUN_000073",0,14,0,0,2,0,0,0,0
"FUN_000074",3,0,0,1,0,1,33,23,10
"FUN_000075",1,0,0,0,0,0,7,11,8
"FUN_000076",12,0,7,0,0,2,29,17,0
"FUN_000077",0,12,37,0,0,5,33,9,2
"FUN_000078",4,4,56,3,0,2,27,22,2
"FUN_000079",0,0,51,3,0,1,38,6,1
"FUN_000080",22039,1271164,3279895,1962960,942577,881010,37778,15730,1727277
"FUN_047065",5616,187430,520923,284100,151761,138223,32794,48590,256262
"FUN_000081",18688,815686,2159282,1163868,602837,568792,30814,19065,1124556
"FUN_000082",202,588,824,356,233,356,490,408,373
"FUN_000083",0,0,0,0,1,0,0,0,0
"FUN_000084",0,0,0,0,0,0,5,0,2
"FUN_000085",0,0,0,1,0,0,0,0,0
"FUN_000086",164,116,227,176,185,68,227,306,144
"FUN_000088",13,8,66,2,12,8,41,9,21
"FUN_000090",236,669,876,296,301,281,361,402,166
"FUN_000092",0,1,0,0,0,0,5,0,3
"FUN_000093",2,2,200,0,8,0,7,1,0
"FUN_000095",48,45,0,0,0,0,2,0,10
"FUN_000096",381,17,840,138,287,551,771,699,146
"FUN_000097",12,1,0,0,0,0,1,1,0
"FUN_000098",438,668,998,271,346,70,698,480,222
"FUN_000101",0,4,0,0,0,0,0,0,2
"FUN_000104",41,33,113,46,19,41,69,28,57
"FUN_000102",0,12,0,0,0,0,0,0,3
"FUN_000103",0,0,0,2,0,0,0,0,0
"FUN_000107",1,0,0,1,1,0,0,0,2
"FUN_000108",5,18,166,23,40,18,146,41,31
"FUN_000109",76,79,281,46,61,39,148,41,46
"FUN_000110",0,3,0,1,2,0,0,4,3
"FUN_000111",17,22,53,31,19,22,50,37,15
"FUN_000112",62,117,244,106,73,89,186,107,175
"FUN_000113",1070,739,2721,800,734,902,2179,1757,743
"FUN_000114",1646,1584,3202,920,1220,741,1950,2077,550
"FUN_000115",311,344,1360,455,329,365,602,358,308
"FUN_000117",961,1001,3949,778,737,766,1118,1252,700
"FUN_000118",0,0,0,0,0,0,0,0,0
"FUN_000119",5,8,19,3,15,27,24,19,14
"FUN_000120",92,111,556,62,76,161,136,322,88
"FUN_000121",28,26,4,59,6,8,36,5,88
"FUN_000123",117,234,751,181,181,214,109,120,238
"FUN_000124",5,0,0,0,2,15,5,15,0
"FUN_000125",0,0,0,0,0,0,3,0,0
"FUN_000126",7,9,7,2,11,0,43,2,2
"FUN_000127",4,0,0,0,0,0,2,0,4
"FUN_000128",1367,887,11037,1089,724,760,2973,1729,2197
"FUN_000129",0,0,130,0,0,0,27,13,8
"FUN_000131",0,0,0,0,0,0,0,0,0
"FUN_000132",0,0,0,0,0,0,0,0,0
"FUN_000133",0,0,0,0,0,0,0,0,0
